                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3194,                 5.9831,                  1.428,                0.04614,                0.07463,                0.01961,                0.01412,                0.91842,                  3.934,                 1.3124,                    0.1,                      0,                      0
                      1,                 1.1976,                 5.3675,                 1.3503,                0.05334,                0.08955,                0.02154,                0.01507,                0.91781,                 3.9307,                 1.3103,                 0.0991,             9.9901e-05,             9.9901e-05
                      2,                 1.1863,                 4.9484,                 1.3413,                0.07465,                 0.0597,                0.02413,                0.01663,                0.91499,                 3.9337,                  1.308,                 0.0982,              0.0001996,              0.0001996
                      3,                  1.306,                  5.671,                 1.5341,                0.07426,                 0.0597,                0.02461,                0.01682,                0.91242,                 3.9557,                 1.3032,               0.097299,             0.00029911,             0.00029911
                      4,                 1.1593,                 5.8031,                 1.3557,                0.04065,                 0.1194,                0.02348,                0.01752,                0.91054,                 3.9573,                 1.2981,               0.096398,             0.00039842,             0.00039842
                      5,                 1.2218,                  5.011,                 1.3464,                0.03914,                0.16418,                0.02565,                0.01763,                0.90877,                 3.9616,                 1.2957,               0.095498,             0.00049752,             0.00049752
                      6,                 1.2353,                 5.9635,                  1.476,                0.08107,                 0.0597,                 0.0285,                0.01854,                0.90865,                  3.958,                 1.2937,               0.094596,             0.00059644,             0.00059644
                      7,                 1.0945,                 5.3517,                 1.3294,                0.05184,                0.10448,                0.03069,                0.01932,                 0.9085,                 3.9586,                 1.2905,               0.093695,             0.00069515,             0.00069515
                      8,                 1.3404,                 5.3534,                 1.4543,                0.05631,                0.10066,                0.03135,                0.01909,                0.91262,                 3.9664,                 1.2847,               0.092794,             0.00079366,             0.00079366
                      9,                 1.3351,                 5.0784,                 1.4848,                0.05199,                0.08955,                 0.0316,                0.01953,                0.91158,                 3.9598,                  1.271,               0.091892,             0.00089198,             0.00089198
                     10,                 1.1399,                 5.8808,                 1.3899,                0.05307,                0.10448,                0.02598,                0.01634,                0.87621,                 3.9387,                 1.2569,                0.09099,              0.0009901,              0.0009901
                     11,                 1.2199,                 4.3402,                 1.3969,                0.03852,                 0.1194,                 0.0203,                0.01438,                0.83237,                 3.7855,                 1.2687,               0.090088,               0.001088,               0.001088
                     12,                 1.0336,                 4.0252,                 1.3517,                0.05253,                0.07463,                0.02147,                0.01581,                 0.8332,                 3.6405,                 1.3036,               0.089186,              0.0011857,              0.0011857
                     13,                0.99602,                 3.6891,                 1.3855,                 0.0945,                 0.1194,                0.03646,                0.02683,                 0.8542,                 3.4546,                  1.336,               0.088283,              0.0012833,              0.0012833
                     14,                 1.1804,                 3.4781,                 1.4285,                0.27127,                0.19403,                0.14585,                0.10887,                0.91137,                  3.183,                 1.3851,               0.087381,              0.0013806,              0.0013806
                     15,                0.89534,                  2.629,                 1.2699,                0.53727,                0.28358,                0.36421,                0.28022,                 0.9217,                 2.7983,                 1.3908,               0.086478,              0.0014777,              0.0014777
                     16,                 1.1216,                 2.4815,                 1.4663,                0.79479,                0.44776,                 0.5844,                0.43676,                0.87667,                 2.3899,                 1.3334,               0.085575,              0.0015747,              0.0015747
                     17,                0.82717,                 1.8196,                 1.1645,                  0.786,                0.56716,                0.65985,                 0.4805,                0.86497,                 2.1533,                  1.309,               0.084671,              0.0016714,              0.0016714
                     18,                0.73233,                 1.6815,                 1.0733,                0.69942,                0.59701,                0.66556,                0.48573,                0.89155,                 1.9684,                 1.3155,               0.083768,              0.0017679,              0.0017679
                     19,                0.88254,                 1.5604,                 1.1389,                0.80707,                0.56716,                 0.6522,                0.47994,                0.89832,                 1.9155,                 1.3281,               0.082864,              0.0018643,              0.0018643
                     20,                0.76237,                 1.5597,                  1.092,                0.88621,                0.52239,                0.63976,                0.48104,                0.90591,                  1.879,                 1.3461,                0.08196,              0.0019604,              0.0019604
                     21,                0.74293,                 1.2459,                  1.151,                0.82211,                0.48293,                 0.5867,                 0.4435,                0.99941,                  1.924,                 1.4153,               0.081056,              0.0020563,              0.0020563
                     22,                 0.7413,                 1.0149,                 1.1647,                0.83027,                 0.5841,                0.65728,                0.49446,                0.97256,                 1.7462,                 1.3738,               0.080152,              0.0021521,              0.0021521
                     23,                0.73214,                 0.9632,                 1.1844,                0.72856,                0.56093,                0.63566,                0.48669,                0.94793,                 1.7361,                 1.3545,               0.079248,              0.0022476,              0.0022476
                     24,                0.72871,                  1.094,                 1.1218,                 0.8648,                0.47734,                0.60726,                0.46068,                0.94661,                  1.836,                 1.3587,               0.078343,               0.002343,               0.002343
                     25,                0.65783,                 1.0228,                 1.1019,                0.59875,                0.53457,                0.53204,                0.40247,                 1.0541,                 1.9785,                 1.4307,               0.077438,              0.0024381,              0.0024381
                     26,                0.62781,                0.98318,                 1.0567,                0.66159,                0.41791,                0.43127,                0.33557,                 1.0668,                 2.4555,                 1.4434,               0.076533,              0.0025331,              0.0025331
                     27,                 0.6337,                 0.8945,                  1.034,                0.36569,                0.35821,                0.25624,                0.19241,                 1.1846,                 2.6587,                 1.5866,               0.075628,              0.0026278,              0.0026278
                     28,                0.66812,                 0.8612,                 1.0755,                0.47255,                0.28358,                0.29563,                0.21719,                 1.1621,                 2.6132,                 1.5418,               0.074722,              0.0027224,              0.0027224
                     29,                0.58758,                0.71843,                0.95733,                0.61324,                0.29851,                0.32568,                0.24237,                 1.0767,                 2.5045,                  1.458,               0.073817,              0.0028167,              0.0028167
                     30,                0.62668,                 0.7187,                 1.0543,                0.51041,                0.34328,                0.35609,                0.28386,                 1.0595,                 2.4225,                 1.4529,               0.072911,              0.0029109,              0.0029109
                     31,                0.59858,                0.65988,                 1.0552,                0.76033,                0.40299,                 0.4712,                0.39124,                0.94753,                 2.0866,                 1.3442,               0.072005,              0.0030049,              0.0030049
                     32,                0.54804,                0.58403,                0.95941,                0.77897,                0.47761,                0.54083,                0.46468,                0.82708,                 1.7953,                 1.2378,               0.071099,              0.0030986,              0.0030986
                     33,                0.61736,                0.65237,                 1.0582,                0.86568,                0.41791,                0.52714,                0.44374,                0.85327,                 2.0674,                 1.2719,               0.070192,              0.0031922,              0.0031922
                     34,                0.51838,                0.60086,                0.97284,                0.81838,                0.53804,                0.64075,                0.53195,                0.80101,                 1.6697,                 1.1933,               0.069286,              0.0032856,              0.0032856
                     35,                0.52678,                0.59947,                0.99305,                0.80953,                0.49254,                0.56675,                0.46667,                0.84453,                 1.9302,                 1.2193,               0.068379,              0.0033787,              0.0033787
                     36,                0.67667,                0.78167,                 1.0594,                0.73944,                0.62687,                0.65638,                0.56544,                0.75354,                 1.5019,                 1.1151,               0.067472,              0.0034717,              0.0034717
                     37,                0.42987,                0.47732,                0.91427,                0.71802,                0.61194,                0.66817,                0.55373,                0.73961,                 1.3816,                 1.1021,               0.066564,              0.0035645,              0.0035645
                     38,                0.51366,                0.57975,                0.94613,                0.70327,                 0.6368,                0.69048,                0.59234,                0.72363,                 1.2965,                 1.0935,               0.065657,               0.003657,               0.003657
                     39,                0.44493,                0.46932,                0.90084,                0.84823,                0.68657,                0.78178,                0.67052,                0.72819,                 1.0961,                 1.0737,               0.064749,              0.0037494,              0.0037494
                     40,                0.55286,                0.46452,                0.93966,                0.85305,                0.69318,                0.77436,                 0.6768,                0.67731,                 1.0557,                 1.0574,               0.063842,              0.0038416,              0.0038416
                     41,                0.57548,                0.55495,                0.96759,                0.90333,                0.69737,                0.80988,                0.70743,                0.64511,                0.99307,                 1.0185,               0.062934,              0.0039336,              0.0039336
