                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.023,                 4.1763,                 1.3795,                0.00374,                0.01493,                0.00112,                0.00052,                0.82175,                 4.8635,                 1.2892,                 0.0964,                 0.0004,                 0.0004
                      1,                0.99312,                 4.0594,                 1.3297,                0.01193,                0.04478,                0.00146,                0.00081,                0.84776,                 4.7768,                 1.2975,               0.091899,             0.00089911,             0.00089911
                      2,                0.91234,                 3.3173,                 1.2919,                0.70139,                0.52592,                0.59666,                0.51638,                0.71985,                 2.6582,                 1.1562,               0.087397,              0.0013972,              0.0013972
                      3,                0.68052,                 1.8156,                 1.1027,                0.76959,                0.53731,                0.62662,                0.54171,                 0.6619,                 1.7113,                 1.1543,               0.082894,              0.0018944,              0.0018944
                      4,                0.65386,                 1.2128,                  1.097,                0.87102,                0.60482,                0.70153,                0.59089,                0.69977,                 1.4143,                 1.1496,                0.07839,              0.0023905,              0.0023905
                      5,                0.60308,                0.95506,                 1.0435,                0.91235,                0.62153,                0.70899,                0.56675,                0.85908,                 1.4977,                 1.2352,               0.073886,              0.0028856,              0.0028856
                      6,                0.58452,                0.75339,                  1.039,                0.90476,                0.64179,                0.80221,                0.66226,                0.74387,                 1.1243,                 1.0949,                0.06938,              0.0033798,              0.0033798
                      7,                0.54033,                0.77763,                0.98769,                0.83607,                0.77612,                0.79535,                0.67761,                0.59811,                  1.216,                 1.0303,               0.064873,               0.003873,               0.003873
                      8,                 0.5512,                0.80424,                0.99293,                0.92977,                0.59701,                0.67923,                0.56522,                0.75616,                 1.5292,                 1.1767,               0.060365,              0.0043652,              0.0043652
                      9,                0.59102,                0.79422,                 1.0091,                  0.954,                0.73134,                0.85003,                0.71495,                0.63368,                0.86094,                 1.0782,               0.055856,              0.0048563,              0.0048563
                     10,                0.54621,                0.69429,                 1.0025,                0.90601,                0.77612,                0.83816,                0.68753,                0.68499,                0.78068,                 1.0872,               0.051347,              0.0053465,              0.0053465
                     11,                0.57374,                0.70778,                 1.0181,                0.84262,                0.71921,                0.83288,                0.63611,                0.77676,                 1.5185,                 1.2281,               0.046836,              0.0058357,              0.0058357
                     12,                0.61124,                  0.689,                 1.0215,                 0.7731,                0.80597,                0.85594,                0.71387,                0.67969,                 2.3755,                  1.087,               0.042324,               0.006324,               0.006324
                     13,                0.58971,                0.63054,                 0.9804,                0.94035,                0.73134,                0.82381,                0.69913,                0.64494,                 1.2154,                 1.0857,               0.037811,              0.0068112,              0.0068112
                     14,                0.60306,                0.64001,                0.98538,                0.82954,                0.76119,                0.80493,                0.61965,                0.79135,                 1.0382,                 1.1996,               0.033297,              0.0072974,              0.0072974
                     15,                 0.6047,                0.59656,                0.98875,                0.73856,                0.77612,                0.83315,                0.60598,                0.94813,                 1.5126,                 1.3146,               0.028783,              0.0077827,              0.0077827
                     16,                0.65444,                0.74594,                 1.0164,                0.88591,                0.68657,                0.75539,                0.56984,                 0.8948,                 1.4894,                  1.261,               0.024267,              0.0082669,              0.0082669
                     17,                0.71648,                0.68714,                 1.0442,                0.58837,                0.67164,                0.67605,                0.47941,                0.84875,                 1.8478,                 1.2063,                0.01975,              0.0087502,              0.0087502
                     18,                0.67677,                0.77794,                 1.0228,                0.79031,                0.59701,                0.67996,                 0.5126,                 1.0635,                 3.3937,                 1.4349,               0.015232,              0.0092325,              0.0092325
                     19,                0.72988,                0.70571,                 1.0257,                0.38087,                0.77612,                0.55939,                0.42867,                0.88842,                 6.5767,                 1.2359,               0.010714,              0.0097138,              0.0097138
                     20,                0.77191,                0.71206,                 1.0612,                0.55257,                0.64179,                0.56866,                0.43916,                0.89084,                 3.8524,                 1.2492,               0.009802,               0.009802,               0.009802
                     21,                 0.7615,                0.88435,                 1.0709,                0.90476,                0.56716,                0.69075,                0.42042,                 1.1777,                 10.521,                 1.5993,               0.009802,               0.009802,               0.009802
                     22,                0.76844,                0.95384,                 1.0784,                0.82353,                0.62687,                0.65293,                0.43779,                  1.077,                 9.6495,                 1.6493,              0.0097921,              0.0097921,              0.0097921
                     23,                 0.7708,                0.76483,                 1.0463,                 0.7561,                0.46269,                0.50241,                 0.3374,                 1.2813,                 15.777,                 1.8432,              0.0097822,              0.0097822,              0.0097822
                     24,                0.74886,                 0.8385,                 1.0744,                0.45652,                0.31343,                0.21856,                0.13149,                 1.5358,                 24.074,                 2.6094,              0.0097723,              0.0097723,              0.0097723
                     25,                0.74076,                0.82276,                 1.0604,                0.17925,                0.56716,                0.13184,                 0.0796,                  1.315,                 33.605,                 2.5043,              0.0097624,              0.0097624,              0.0097624
                     26,                0.79221,                0.78149,                  1.093,                 0.2973,                0.49254,                0.21088,                 0.1253,                 1.3148,                 29.403,                 2.3179,              0.0097525,              0.0097525,              0.0097525
                     27,                0.79664,                0.70868,                 1.0904,                0.67742,                0.31343,                0.34624,                0.21151,                 1.5123,                 10.892,                 2.3847,              0.0097426,              0.0097426,              0.0097426
                     28,                0.71415,                0.68104,                 1.0255,                0.36937,                0.61194,                0.29394,                0.18086,                 1.1567,                 20.121,                 2.2142,              0.0097327,              0.0097327,              0.0097327
                     29,                0.71805,                0.66575,                 1.0713,                0.10294,                0.10448,                0.05074,                0.02545,                 1.7117,                 41.674,                 3.1643,              0.0097228,              0.0097228,              0.0097228
                     30,                0.72788,                 0.6803,                 1.0496,                0.01522,                0.08955,                0.00488,                 0.0022,                 3.1732,                 12.085,                 4.6238,              0.0097129,              0.0097129,              0.0097129
                     31,                0.72545,                0.67479,                  1.067,                0.00701,                0.20896,                0.00535,                0.00221,                 2.8377,                  54.31,                 5.1329,               0.009703,               0.009703,               0.009703
                     32,                  0.724,                0.71018,                 1.0579,                0.50029,                0.43335,                0.45707,                0.35259,                 1.2076,                 4.2996,                 1.7053,              0.0096931,              0.0096931,              0.0096931
                     33,                0.76669,                0.68202,                 1.1009,                0.62843,                0.29851,                0.29749,                0.19125,                 1.9862,                 4.5223,                 2.0991,              0.0096832,              0.0096832,              0.0096832
                     34,                0.69619,                0.66729,                 1.0388,                0.63616,                0.44776,                0.50401,                0.37697,                 1.1744,                 3.0735,                 1.5611,              0.0096733,              0.0096733,              0.0096733
                     35,                0.75985,                 0.7183,                 1.1077,                0.85531,                0.61194,                0.69438,                0.45579,                 1.1143,                 1.8197,                 1.6239,              0.0096634,              0.0096634,              0.0096634
