                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0443,                 3.8057,                 1.3224,                0.00202,                0.55224,                0.00345,                0.00203,                0.90781,                 4.1446,                 1.2924,                    0.1,                      0,                      0
                      1,                 1.0211,                   3.81,                 1.2802,                0.00208,                0.56716,                0.00338,                0.00189,                0.90915,                 4.1358,                 1.2915,                 0.0991,             9.9901e-05,             9.9901e-05
                      2,                 1.0674,                 3.7897,                 1.3288,                0.00208,                0.56716,                0.00378,                0.00223,                0.91216,                 4.1256,                 1.2899,                 0.0982,              0.0001996,              0.0001996
                      3,                 1.0469,                 3.7614,                 1.3046,                0.00213,                0.58209,                0.00373,                0.00227,                0.91081,                 4.1253,                 1.2883,               0.097299,             0.00029911,             0.00029911
                      4,                 1.1096,                 3.7587,                 1.3685,                0.00208,                0.56716,                0.00391,                0.00248,                0.90313,                 4.1311,                 1.2852,               0.096398,             0.00039842,             0.00039842
                      5,                 1.0463,                 3.8062,                  1.301,                0.00202,                0.55224,                0.00565,                0.00238,                0.89901,                 4.1351,                 1.2859,               0.095498,             0.00049752,             0.00049752
                      6,                 1.0974,                   3.77,                 1.3225,                0.00197,                0.53731,                0.00674,                0.00278,                0.89287,                 4.1421,                 1.2839,               0.094596,             0.00059644,             0.00059644
                      7,                 1.0165,                 3.7511,                 1.2683,                0.00202,                0.55224,                0.00568,                0.00252,                0.88563,                  4.147,                 1.2806,               0.093695,             0.00069515,             0.00069515
                      8,                 1.1287,                 3.8202,                 1.3543,                0.00191,                0.52239,                0.00642,                0.00315,                0.87955,                 4.1466,                 1.2803,               0.092794,             0.00079366,             0.00079366
                      9,                 1.0821,                 3.7868,                 1.3267,                0.00202,                0.55224,                0.00523,                0.00296,                0.87961,                 4.1474,                  1.283,               0.091892,             0.00089198,             0.00089198
                     10,                 1.0907,                 3.7617,                 1.3313,                0.00208,                0.56716,                0.00499,                0.00254,                0.87698,                 4.1167,                 1.2835,                0.09099,              0.0009901,              0.0009901
                     11,                0.88159,                 3.7076,                 1.2282,                0.00246,                0.67164,                0.00515,                0.00384,                0.79934,                  4.053,                 1.2425,               0.090088,               0.001088,               0.001088
                     12,                0.87421,                 3.6562,                 1.1797,                0.00262,                0.71642,                 0.0114,                0.00926,                0.78064,                 4.0167,                 1.2233,               0.089186,              0.0011857,              0.0011857
                     13,                 0.7609,                 3.5861,                 1.0978,                0.00295,                0.80597,                0.02418,                0.02107,                0.76001,                 3.9529,                 1.1963,               0.088283,              0.0012833,              0.0012833
                     14,                0.80134,                 3.4498,                 1.1158,                0.00339,                0.92537,                0.05795,                0.04958,                0.74833,                 3.8859,                 1.1646,               0.087381,              0.0013806,              0.0013806
                     15,                0.71434,                   3.31,                 1.0287,                 0.0035,                0.95522,                0.07515,                0.06001,                 0.7316,                 3.8628,                  1.124,               0.086478,              0.0014777,              0.0014777
                     16,                0.69851,                 3.2149,                 1.0205,                0.00355,                0.97015,                 0.0914,                0.07068,                0.71111,                 3.8227,                 1.0994,               0.085575,              0.0015747,              0.0015747
                     17,                0.67644,                 3.0262,                 1.0108,                0.00361,                0.98507,                0.11655,                0.09277,                0.69282,                 3.8051,                 1.0863,               0.084671,              0.0016714,              0.0016714
                     18,                0.67353,                 2.8193,                0.99334,                0.00361,                0.98507,                0.17731,                0.13153,                0.69054,                 3.7522,                 1.0822,               0.083768,              0.0017679,              0.0017679
                     19,                0.71779,                 2.6078,                 1.0356,                0.00361,                0.98507,                0.27037,                0.20752,                0.63641,                 3.6196,                 1.0028,               0.082864,              0.0018643,              0.0018643
                     20,                0.67326,                 2.2587,                 1.0072,                0.00361,                0.98507,                 0.4971,                0.40013,                0.64015,                 3.5089,                0.99345,                0.08196,              0.0019604,              0.0019604
                     21,                 0.6326,                 1.8937,                0.98749,                0.00361,                0.98507,                0.64506,                 0.5199,                0.69199,                 3.4054,                 1.0288,               0.081056,              0.0020563,              0.0020563
                     22,                0.65554,                 1.7843,                0.99529,                0.00361,                0.98507,                 0.5818,                0.46829,                0.64713,                 3.1471,                  1.009,               0.080152,              0.0021521,              0.0021521
                     23,                0.60655,                 1.6513,                0.96543,                      1,                 0.3282,                0.51736,                0.39889,                0.67431,                 3.0302,                 1.0138,               0.079248,              0.0022476,              0.0022476
                     24,                0.63552,                 1.5948,                0.99325,                      1,                0.17237,                 0.5291,                0.42265,                0.62697,                 2.9533,                0.99929,               0.078343,               0.002343,               0.002343
                     25,                0.60641,                 1.4713,                0.92656,                      1,                  0.144,                0.55505,                0.44512,                0.62569,                 2.9539,                 1.0133,               0.077438,              0.0024381,              0.0024381
                     26,                0.63046,                 1.3893,                0.94265,                      1,                0.10638,                0.57633,                0.47357,                0.62305,                  2.941,                 1.0175,               0.076533,              0.0025331,              0.0025331
                     27,                0.60125,                 1.3011,                0.93291,                      1,                0.07449,                0.55269,                0.42554,                0.64939,                  3.032,                 1.0192,               0.075628,              0.0026278,              0.0026278
                     28,                0.62684,                 1.2905,                0.96716,                      1,                0.11099,                0.48517,                0.39078,                0.66127,                 3.0618,                  1.055,               0.074722,              0.0027224,              0.0027224
                     29,                0.59708,                 1.2656,                0.95637,                      1,                0.07243,                0.42639,                 0.3446,                0.64313,                  3.153,                 1.0509,               0.073817,              0.0028167,              0.0028167
                     30,                0.58011,                 1.1632,                0.94256,                      1,                0.07617,                0.50823,                0.40711,                 0.6376,                 3.0574,                 1.0304,               0.072911,              0.0029109,              0.0029109
                     31,                0.59947,                 1.1104,                0.93438,                      1,                 0.1543,                0.62584,                0.49921,                0.66931,                 2.9602,                 1.0318,               0.072005,              0.0030049,              0.0030049
                     32,                0.57858,                 1.1326,                0.91102,                      1,                0.20298,                0.62545,                0.49791,                0.63558,                 2.9928,                 1.0026,               0.071099,              0.0030986,              0.0030986
                     33,                0.54778,                 1.0225,                0.92034,                      1,                 0.2292,                0.61348,                0.47762,                0.67536,                 3.0261,                 1.0234,               0.070192,              0.0031922,              0.0031922
                     34,                0.58899,                 1.0518,                 0.9118,                      1,                0.14634,                0.66738,                0.51986,                0.64927,                 2.9817,                 1.0031,               0.069286,              0.0032856,              0.0032856
