                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                0.54667,                0.69354,                0.99278,                0.93272,                0.68657,                0.79537,                0.70469,                0.66581,                 1.0406,                 1.0909,               0.068462,              0.0034619,              0.0034619
                     12,                0.56216,                0.62773,                0.97893,                0.89392,                0.74627,                0.87716,                0.76245,                0.60916,                0.80014,                  1.036,               0.065755,              0.0037549,              0.0037549
                     13,                0.49361,                0.56971,                0.94119,                0.88096,                0.77322,                0.86909,                0.75044,                0.61235,                0.75252,                 1.0257,               0.063047,              0.0040472,              0.0040472
                     14,                0.58477,                 0.5995,                 1.0067,                0.89027,                0.70149,                0.78489,                0.69068,                0.61859,                0.94856,                 1.0041,               0.060339,               0.004339,               0.004339
                     15,                0.57564,                0.58481,                0.98851,                0.96066,                0.72901,                0.86687,                 0.7464,                0.63594,                0.84581,                0.99867,                0.05763,              0.0046302,              0.0046302
                     16,                0.53653,                0.50848,                0.95361,                0.90119,                0.77612,                0.90726,                0.77195,                0.66819,                0.76644,                 1.0182,               0.054921,              0.0049208,              0.0049208
                     17,                0.48096,                0.51293,                0.93802,                 0.8491,                0.77612,                0.86849,                0.74347,                0.68278,                0.87261,                0.99853,               0.052211,              0.0052108,              0.0052108
                     18,                0.54061,                0.44907,                0.93167,                0.85219,                0.86567,                0.90044,                0.76364,                0.67055,                0.67742,                 1.0112,                 0.0495,              0.0055002,              0.0055002
                     19,                0.52294,                 0.4934,                0.93442,                0.93996,                0.80597,                0.88049,                0.72092,                 0.6873,                0.72018,                 1.0343,               0.046789,               0.005789,               0.005789
                     20,                0.53616,                0.47521,                0.92592,                0.90917,                0.74627,                0.82626,                0.69143,                0.69172,                0.87044,                 1.0457,               0.044077,              0.0060772,              0.0060772
                     21,                0.53228,                0.50583,                0.93514,                 0.9493,                0.65672,                0.78202,                0.67935,                0.63782,                0.97545,                 1.0025,               0.041365,              0.0063649,              0.0063649
                     22,                0.50179,                0.47278,                0.93734,                0.88002,                0.55224,                0.70761,                0.56043,                0.76777,                 1.1916,                 1.1123,               0.038652,              0.0066519,              0.0066519
                     23,                0.48174,                0.54048,                0.90368,                0.90805,                0.74627,                0.87482,                0.70602,                0.69486,                0.91218,                 1.0681,               0.035938,              0.0069383,              0.0069383
                     24,                0.53849,                0.58632,                0.95008,                0.87556,                0.79104,                0.87637,                0.72012,                0.72217,                0.79309,                 1.0794,               0.033224,              0.0072242,              0.0072242
                     25,                0.52791,                0.50682,                0.93699,                0.83481,                0.67164,                0.79325,                0.66714,                0.75528,                 0.9999,                 1.0887,               0.030509,              0.0075094,              0.0075094
                     26,                0.53655,                0.49644,                0.93343,                 0.9358,                0.65268,                0.78197,                0.61763,                0.81977,                 1.2366,                 1.1864,               0.027794,              0.0077941,              0.0077941
                     27,                0.56263,                  0.563,                0.96211,                0.85679,                 0.7144,                0.79409,                0.64659,                0.68043,                0.98575,                 1.0261,               0.025078,              0.0080781,              0.0080781
                     28,                0.49926,                0.51602,                 0.9216,                0.94715,                0.80597,                 0.8509,                0.65558,                0.82519,                 1.2689,                 1.0936,               0.022362,              0.0083616,              0.0083616
                     29,                0.57953,                0.53249,                0.97183,                0.83524,                0.62687,                0.72612,                0.57606,                0.88057,                 1.3462,                 1.1933,               0.019644,              0.0086445,              0.0086445
                     30,                0.55388,                0.63293,                0.93995,                0.91586,                0.74627,                0.81046,                0.66428,                0.73506,                 1.8791,                 1.0845,               0.016927,              0.0089268,              0.0089268
                     31,                0.56203,                0.48965,                 0.9403,                0.87566,                0.70149,                0.77852,                0.63089,                0.82777,                 1.2696,                 1.1446,               0.014208,              0.0092084,              0.0092084
                     32,                0.62414,                0.53602,                0.95437,                0.82269,                0.64179,                0.68132,                0.55011,                 0.9375,                 1.5909,                 1.1894,                0.01149,              0.0094895,              0.0094895
                     33,                0.59717,                0.52748,                0.97912,                0.97043,                0.61194,                0.67198,                0.44841,                   1.29,                 1.5805,                 1.4729,              0.0096733,              0.0096733,              0.0096733
                     34,                0.62689,                0.56687,                0.92866,                0.77532,                0.67164,                0.70368,                0.51596,                 1.0194,                 2.1944,                 1.3624,              0.0096733,              0.0096733,              0.0096733
                     35,                 0.6251,                0.56773,                0.97693,                0.83375,                0.65672,                0.73383,                 0.5702,                 1.0739,                 1.9718,                 1.3935,              0.0096634,              0.0096634,              0.0096634
