                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2098,                 4.3465,                 1.5116,                0.41873,                0.25373,                0.23957,                0.17761,                 1.0355,                 4.0928,                 1.3614,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.0925,                 3.9584,                 1.4357,                0.60931,                0.29851,                0.39458,                0.31851,                0.83264,                 2.8238,                 1.2858,               0.088299,              0.0012987,              0.0012987
                      2,                0.84251,                 2.4501,                 1.2205,                0.79107,                0.49254,                0.57765,                 0.4338,                0.93703,                 2.3703,                 1.4514,               0.081996,               0.001996,               0.001996
                      3,                0.72695,                 1.5358,                 1.1693,                0.68054,                0.44776,                0.50366,                0.39914,                0.83626,                 2.2713,                 1.3085,               0.075692,               0.002692,               0.002692
                      4,                0.67059,                 1.1672,                  1.108,                0.57539,                0.46269,                0.50977,                0.42167,                0.82753,                 1.9688,                 1.2419,               0.069387,              0.0033865,              0.0033865
                      5,                0.55163,                0.85797,                 1.0029,                0.93301,                0.62372,                0.74033,                0.60144,                0.78203,                 1.2237,                 1.2099,                0.06308,              0.0040797,              0.0040797
                      6,                0.79143,                0.97391,                 1.0894,                0.84176,                0.68657,                0.77936,                0.62817,                  0.745,                 1.2027,                 1.1918,               0.056771,              0.0047715,              0.0047715
                      7,                0.57865,                0.80355,                 1.0338,                0.96781,                0.59701,                0.73808,                0.62275,                0.77206,                 1.1977,                 1.1849,               0.050462,              0.0054619,              0.0054619
                      8,                0.56497,                0.69489,                 1.0061,                0.84867,                0.67164,                0.73962,                0.60894,                0.77623,                 1.1227,                 1.1639,               0.044151,              0.0061509,              0.0061509
                      9,                0.58795,                0.55052,                 1.0023,                0.90002,                0.83582,                0.91608,                0.76645,                0.62589,                0.69774,                 1.0508,               0.037839,              0.0068385,              0.0068385
                     10,                0.53058,                0.62292,                0.97542,                0.93324,                0.83462,                0.87078,                0.71119,                0.72078,                0.86966,                 1.1212,               0.031525,              0.0075248,              0.0075248
                     11,                0.52539,                0.71595,                0.97598,                0.93222,                0.64179,                0.75587,                0.61199,                0.79773,                 1.3904,                 1.1728,                0.02521,              0.0082096,              0.0082096
                     12,                0.70737,                 1.1331,                 1.0711,                0.88291,                0.79104,                0.84081,                0.66709,                0.80501,                  1.032,                 1.1415,               0.018893,              0.0088931,              0.0088931
                     13,                0.57783,                0.66811,                 0.9601,                0.43079,                0.65672,                0.59175,                0.48735,                0.77845,                 3.9608,                 1.1246,               0.012575,              0.0095752,              0.0095752
                     14,                0.64539,                0.75944,                 1.0238,                0.87243,                0.29851,                0.37408,                0.30298,                 1.1773,                   3.27,                 1.4155,              0.0098614,              0.0098614,              0.0098614
                     15,                0.69948,                 0.8879,                 1.0487,                0.77702,                0.49254,                0.55876,                0.44642,                 1.0821,                 1.8849,                 1.3762,              0.0098614,              0.0098614,              0.0098614
                     16,                0.65809,                0.72613,                  1.009,                0.50882,                0.50746,                0.51004,                0.39676,                 1.1815,                 2.5446,                 1.5579,              0.0098515,              0.0098515,              0.0098515
                     17,                  0.704,                0.75706,                 1.0724,                      1,                0.44776,                0.64817,                 0.4922,                0.94234,                 4.4675,                 1.3506,              0.0098416,              0.0098416,              0.0098416
                     18,                0.62731,                0.69765,                0.98998,                0.81823,                 0.7391,                 0.7669,                0.60771,                0.87315,                 2.8008,                 1.2801,              0.0098317,              0.0098317,              0.0098317
                     19,                0.66281,                0.64224,                 1.0198,                 0.6729,                0.67164,                0.74229,                0.54641,                0.93508,                 2.3536,                 1.2815,              0.0098218,              0.0098218,              0.0098218
                     20,                0.66182,                0.89732,                 1.0388,                0.75414,                0.68673,                0.75407,                0.53824,                 1.1327,                 2.6116,                 1.5385,              0.0098119,              0.0098119,              0.0098119
                     21,                0.67391,                0.61575,                 1.0379,                0.43805,                0.40299,                0.41876,                0.27175,                  1.509,                 4.9066,                 1.9472,               0.009802,               0.009802,               0.009802
                     22,                0.95916,                0.81134,                 1.2492,                0.65123,                0.78037,                0.77055,                0.60333,                0.83274,                 3.3798,                  1.351,              0.0097921,              0.0097921,              0.0097921
                     23,                0.66306,                0.58672,                 1.0128,                0.79956,                0.71642,                 0.7671,                0.56695,                0.93487,                 2.2621,                 1.3457,              0.0097822,              0.0097822,              0.0097822
                     24,                0.65567,                 0.6124,                 1.0388,                0.63454,                0.77612,                0.76848,                0.60015,                0.89512,                  3.332,                 1.4365,              0.0097723,              0.0097723,              0.0097723
                     25,                0.64731,                0.66277,                 1.0344,                0.73901,                0.59175,                0.65911,                0.49859,                0.99995,                 1.6231,                 1.4919,              0.0097624,              0.0097624,              0.0097624
                     26,                0.74036,                0.65643,                 1.0768,                0.60985,                0.73134,                 0.7519,                0.55565,                0.92287,                 3.9714,                 1.3746,              0.0097525,              0.0097525,              0.0097525
                     27,                0.71945,                0.72989,                 1.1017,                 0.8902,                0.73134,                0.78137,                0.59616,                 0.9232,                 1.9128,                 1.3473,              0.0097426,              0.0097426,              0.0097426
                     28,                0.63121,                0.56459,                0.99824,                0.81297,                0.76119,                0.77113,                0.57871,                0.94127,                 1.2555,                 1.3833,              0.0097327,              0.0097327,              0.0097327
                     29,                0.68542,                0.69071,                 1.0507,                0.85319,                0.69396,                 0.7549,                0.61094,                0.80876,                  1.449,                 1.2591,              0.0097228,              0.0097228,              0.0097228
                     30,                0.70635,                0.65623,                 1.0516,                0.86101,                0.65672,                0.71424,                0.57258,                 0.8599,                  1.363,                 1.3426,              0.0097129,              0.0097129,              0.0097129
                     31,                0.68639,                0.59242,                  1.023,                0.81858,                0.65672,                0.76474,                0.56962,                0.95791,                 1.2397,                  1.393,               0.009703,               0.009703,               0.009703
                     32,                0.67841,                0.62324,                   1.02,                0.81904,                0.67557,                0.73474,                0.56647,                0.88273,                 1.2843,                 1.4013,              0.0096931,              0.0096931,              0.0096931
                     33,                0.62894,                0.57883,                 1.0278,                0.75863,                0.64179,                0.69769,                0.49461,                 1.1142,                 1.6661,                 1.5582,              0.0096832,              0.0096832,              0.0096832
                     34,                0.76411,                0.62026,                 1.0997,                0.45802,                0.62687,                0.54691,                0.36175,                 1.2282,                 1.9129,                 1.6176,              0.0096733,              0.0096733,              0.0096733
                     35,                0.60477,                0.53361,                 1.0075,                 0.8314,                0.73134,                 0.7771,                0.53442,                 1.0518,                 1.3496,                  1.452,              0.0096634,              0.0096634,              0.0096634
                     36,                0.64477,                0.56363,                 1.0406,                0.86237,                0.74816,                0.81083,                0.59215,                 1.0196,                 1.0789,                 1.4513,              0.0096535,              0.0096535,              0.0096535
                     37,                0.62869,                0.52047,                 1.0031,                0.96091,                0.70149,                0.83137,                0.64213,                0.94355,                 0.8839,                 1.4357,              0.0096436,              0.0096436,              0.0096436
                     38,                0.67485,                0.62767,                 1.0207,                0.93022,                0.79588,                0.88527,                 0.7149,                0.79124,                0.82593,                 1.2368,              0.0096337,              0.0096337,              0.0096337
                     39,                0.66029,                0.60846,                 1.0137,                0.93046,                0.76119,                0.86011,                0.68548,                0.81966,                0.78226,                 1.3055,              0.0096238,              0.0096238,              0.0096238
                     40,                0.62183,                0.57195,                0.98676,                0.79426,                0.64179,                0.70054,                0.50775,                 1.1183,                 1.3129,                 1.5226,              0.0096139,              0.0096139,              0.0096139
                     41,                0.57679,                0.54178,                 0.9725,                0.93639,                0.70149,                0.80287,                0.62657,                0.88405,                0.90093,                 1.3155,               0.009604,               0.009604,               0.009604
                     42,                0.64083,                0.55091,                 1.0242,                0.90552,                0.42923,                0.49937,                0.36602,                 1.2393,                 2.0472,                 1.6688,              0.0095941,              0.0095941,              0.0095941
                     43,                0.60996,                0.54455,                 1.0134,                0.86678,                0.67981,                0.74949,                0.57803,                0.93615,                 1.1761,                 1.3747,              0.0095842,              0.0095842,              0.0095842
                     44,                0.70261,                0.55629,                 1.0328,                 0.8058,                0.68128,                0.73976,                0.55643,                0.97026,                   1.48,                  1.372,              0.0095743,              0.0095743,              0.0095743
                     45,                0.65241,                0.49331,                 1.0025,                0.77656,                0.37313,                0.46533,                0.38806,                 1.1064,                 1.7623,                  1.458,              0.0095644,              0.0095644,              0.0095644
                     46,                0.60965,                0.48934,                 1.0138,                0.78582,                0.79104,                 0.8286,                0.63998,                0.89714,                0.93888,                 1.3827,              0.0095545,              0.0095545,              0.0095545
                     47,                 0.5817,                0.51218,                0.98941,                0.93906,                0.79104,                0.87113,                0.65908,                0.83877,                0.83204,                 1.3297,              0.0095446,              0.0095446,              0.0095446
                     48,                0.62958,                0.48617,                  1.036,                0.91095,                0.76119,                0.81765,                0.61194,                0.94416,                0.95936,                 1.4014,              0.0095347,              0.0095347,              0.0095347
                     49,                0.63873,                0.50092,                 1.0411,                0.82338,                0.50746,                0.60435,                0.43074,                 1.1904,                  1.695,                  1.569,              0.0095248,              0.0095248,              0.0095248
                     50,                0.61882,                0.49545,                 1.0326,                0.91864,                0.70149,                0.76261,                0.60796,                0.88894,                 1.0798,                 1.3619,              0.0095149,              0.0095149,              0.0095149
                     51,                0.61393,                0.45675,                 1.0531,                0.93597,                0.80597,                0.87089,                0.69641,                0.80021,                0.79906,                 1.2229,               0.009505,               0.009505,               0.009505
                     52,                0.62473,                0.47125,                0.99158,                0.93479,                0.85585,                0.90121,                0.71346,                0.83201,                 0.7017,                 1.3306,              0.0094951,              0.0094951,              0.0094951
                     53,                0.63955,                0.54564,                  1.003,                0.89058,                0.80597,                0.88159,                0.69656,                0.77136,                0.76863,                 1.1943,              0.0094852,              0.0094852,              0.0094852
                     54,                0.63508,                0.49893,                 1.0197,                0.88744,                0.70613,                0.79996,                0.60922,                0.96942,                 1.0899,                  1.347,              0.0094753,              0.0094753,              0.0094753
                     55,                0.59672,                0.47499,                 1.0011,                0.82885,                0.50602,                0.62034,                0.45663,                 1.0553,                 1.5296,                 1.3514,              0.0094654,              0.0094654,              0.0094654
                     56,                0.63411,                0.47415,                 1.0788,                 0.8521,                0.68795,                 0.7851,                0.59589,                0.93116,                0.95937,                 1.3449,              0.0094555,              0.0094555,              0.0094555
                     57,                0.59393,                 0.4893,                0.98241,                0.89592,                0.79104,                0.85021,                0.62758,                 1.0426,                0.87719,                 1.5089,              0.0094456,              0.0094456,              0.0094456
                     58,                0.67588,                0.62492,                 1.0399,                0.88673,                 0.8209,                0.86707,                0.62619,                 1.0197,                0.78299,                 1.4658,              0.0094357,              0.0094357,              0.0094357
                     59,                0.58879,                0.49992,                 1.0206,                 0.9101,                0.80597,                0.85556,                0.62092,                0.91359,                0.86958,                 1.4338,              0.0094258,              0.0094258,              0.0094258
                     60,                0.55938,                0.46875,                0.96407,                0.89941,                0.80082,                0.83509,                0.60052,                0.94953,                0.92593,                 1.4513,              0.0094159,              0.0094159,              0.0094159
                     61,                 0.5549,                0.44127,                0.96109,                0.97727,                0.79104,                0.86753,                0.66068,                0.89514,                0.78293,                 1.3748,               0.009406,               0.009406,               0.009406
                     62,                0.71465,                0.71553,                 1.1115,                0.86578,                 0.8806,                 0.8952,                0.70221,                0.81059,                0.73091,                 1.2868,              0.0093961,              0.0093961,              0.0093961
                     63,                0.56847,                 0.4538,                 1.0195,                0.93563,                0.86776,                0.92615,                0.73039,                0.78046,                0.77693,                 1.2265,              0.0093862,              0.0093862,              0.0093862
                     64,                 0.5539,                0.43083,                0.97506,                0.90599,                0.86304,                0.91867,                0.73339,                0.75853,                 0.7946,                 1.1979,              0.0093763,              0.0093763,              0.0093763
                     65,                0.57262,                0.45675,                0.98467,                0.90596,                0.86567,                0.91607,                0.73084,                 0.7211,                0.69881,                 1.2173,              0.0093664,              0.0093664,              0.0093664
                     66,                0.54799,                 0.4517,                 0.9574,                0.90894,                0.80597,                0.87509,                0.70568,                0.71278,                0.67774,                 1.2281,              0.0093565,              0.0093565,              0.0093565
                     67,                0.61635,                0.62481,                 1.0132,                0.89024,                0.83582,                0.87304,                0.66945,                0.83231,                0.81969,                 1.2872,              0.0093466,              0.0093466,              0.0093466
                     68,                0.57837,                 0.4637,                 1.0022,                0.90132,                0.71642,                0.82285,                0.64679,                0.85585,                 1.0234,                 1.3081,              0.0093367,              0.0093367,              0.0093367
                     69,                0.55131,                0.45105,                0.95096,                0.96292,                0.76119,                0.83061,                0.63242,                0.90749,                0.81748,                 1.3916,              0.0093268,              0.0093268,              0.0093268
                     70,                0.53544,                0.43299,                0.94982,                0.95131,                0.74627,                0.86176,                0.67693,                  0.828,                0.83325,                  1.251,              0.0093169,              0.0093169,              0.0093169
                     71,                0.52341,                0.44308,                0.95831,                0.90851,                0.74108,                0.86055,                 0.6968,                0.77943,                0.78251,                 1.1919,               0.009307,               0.009307,               0.009307
                     72,                0.79671,                0.49616,                 1.1814,                0.81409,                0.74627,                0.77898,                0.63076,                0.82844,                0.97142,                 1.2897,              0.0092971,              0.0092971,              0.0092971
                     73,                0.52942,                0.42951,                 0.9308,                0.83719,                 0.8806,                0.89812,                0.74465,                0.68953,                0.72836,                  1.165,              0.0092872,              0.0092872,              0.0092872
                     74,                0.54318,                0.44886,                 0.9715,                0.85438,                0.79104,                0.84554,                 0.6676,                0.82752,                0.78473,                  1.269,              0.0092773,              0.0092773,              0.0092773
                     75,                0.54892,                 0.4565,                 1.0053,                0.96446,                 0.8209,                0.87481,                 0.7018,                0.78363,                0.81323,                 1.2494,              0.0092674,              0.0092674,              0.0092674
                     76,                0.54971,                0.44248,                 1.0013,                0.97086,                0.77612,                  0.872,                0.72144,                0.75449,                0.75262,                 1.2012,              0.0092575,              0.0092575,              0.0092575
                     77,                0.54999,                0.48108,                0.99654,                0.93215,                0.82028,                0.88226,                 0.7116,                0.78357,                0.74703,                 1.2283,              0.0092476,              0.0092476,              0.0092476
                     78,                0.53466,                0.49745,                0.98411,                 0.8978,                0.78671,                0.86654,                0.68003,                0.86921,                 0.7201,                 1.3294,              0.0092377,              0.0092377,              0.0092377
                     79,                0.54392,                0.42145,                0.97733,                0.90445,                 0.8806,                0.90604,                0.67705,                0.93259,                0.60826,                 1.3978,              0.0092278,              0.0092278,              0.0092278
                     80,                 0.5913,                 0.4373,                 1.0267,                   0.88,                0.87564,                0.91379,                0.74005,                0.76919,                0.68293,                 1.2217,              0.0092179,              0.0092179,              0.0092179
                     81,                0.55726,                0.55436,                0.98413,                0.91625,                0.86567,                0.91109,                0.74257,                0.77002,                 0.5981,                 1.2303,               0.009208,               0.009208,               0.009208
                     82,                0.54752,                 0.4365,                0.97566,                0.91612,                0.81512,                0.89672,                0.73621,                0.70153,                0.70138,                 1.1601,              0.0091981,              0.0091981,              0.0091981
                     83,                0.56577,                0.45555,                 1.0134,                0.89939,                0.83582,                0.89831,                0.72462,                0.74189,                 0.6786,                 1.2541,              0.0091882,              0.0091882,              0.0091882
                     84,                0.53398,                0.41241,                0.95407,                0.91761,                 0.8312,                0.89572,                0.73031,                0.73052,                0.65585,                 1.2165,              0.0091783,              0.0091783,              0.0091783
                     85,                0.55307,                 0.4738,                0.92382,                0.88874,                0.83456,                0.87364,                0.67052,                0.78094,                0.76343,                 1.2508,              0.0091684,              0.0091684,              0.0091684
                     86,                0.57519,                0.44277,                0.96629,                0.82577,                0.84892,                 0.8576,                0.61045,                0.89854,                0.90097,                  1.322,              0.0091585,              0.0091585,              0.0091585
                     87,                0.51191,                0.41851,                0.94886,                0.91358,                0.76119,                0.87589,                 0.6378,                0.94119,                0.80433,                 1.4014,              0.0091486,              0.0091486,              0.0091486
                     88,                0.55355,                0.40872,                0.96043,                0.94315,                0.80597,                0.86981,                0.65332,                0.85077,                0.76257,                 1.3308,              0.0091387,              0.0091387,              0.0091387
                     89,                0.50036,                0.41718,                0.95664,                0.87877,                0.86549,                0.89581,                0.68153,                0.80269,                0.72197,                  1.307,              0.0091288,              0.0091288,              0.0091288
                     90,                0.56109,                0.45953,                 1.0124,                0.94332,                0.76119,                0.83272,                0.63284,                0.86511,                0.81285,                 1.3159,              0.0091189,              0.0091189,              0.0091189
                     91,                0.57915,                0.42598,                0.96512,                0.91017,                0.79104,                0.89845,                0.69386,                0.79881,                0.70068,                 1.2333,               0.009109,               0.009109,               0.009109
                     92,                0.49699,                0.46637,                0.96136,                0.88709,                0.85075,                0.89365,                0.71289,                0.67694,                 0.7085,                 1.1489,              0.0090991,              0.0090991,              0.0090991
                     93,                0.51165,                 0.4155,                0.93638,                0.84134,                0.85075,                0.87953,                0.69451,                0.79831,                0.69248,                 1.2248,              0.0090892,              0.0090892,              0.0090892
                     94,                0.44479,                0.44693,                0.81657,                0.91295,                 0.8209,                0.90786,                0.72842,                0.78164,                0.69479,                 1.2505,              0.0090793,              0.0090793,              0.0090793
                     95,                0.47098,                 0.4647,                0.93213,                0.93602,                0.85075,                0.90847,                0.70393,                0.76997,                0.71117,                 1.2306,              0.0090694,              0.0090694,              0.0090694
                     96,                0.46782,                0.38365,                0.91963,                0.95412,                0.80597,                0.85901,                0.71657,                0.75228,                0.74406,                 1.2363,              0.0090595,              0.0090595,              0.0090595
                     97,                 0.5162,                0.42716,                0.94428,                0.88699,                0.82005,                0.85592,                0.69991,                0.75795,                0.75812,                 1.2137,              0.0090496,              0.0090496,              0.0090496
                     98,                0.52351,                0.42893,                 0.9631,                0.93075,                0.85075,                0.88658,                0.72979,                  0.746,                0.69984,                 1.1856,              0.0090397,              0.0090397,              0.0090397
                     99,                0.60494,                0.49226,                 1.0382,                 0.9621,                0.75772,                0.80943,                0.65667,                0.82008,                0.90707,                 1.2656,              0.0090298,              0.0090298,              0.0090298
                    100,                0.48986,                0.39275,                0.94785,                0.91003,                0.80597,                0.84504,                0.66466,                 0.8222,                0.87086,                 1.2386,              0.0090199,              0.0090199,              0.0090199
                    101,                0.49536,                0.37289,                0.94581,                0.91094,                0.80597,                0.82181,                0.67357,                0.74503,                0.89384,                 1.2227,                0.00901,                0.00901,                0.00901
                    102,                 0.4856,                0.40007,                0.91395,                0.91584,                0.86567,                0.88868,                0.71531,                0.82714,                0.69241,                 1.3047,              0.0090001,              0.0090001,              0.0090001
                    103,                0.51726,                 0.3888,                0.95219,                0.89384,                0.83582,                 0.8887,                0.70219,                  0.784,                0.74317,                 1.2363,              0.0089902,              0.0089902,              0.0089902
                    104,                0.47013,                0.38784,                0.96495,                0.93396,                0.79104,                0.86728,                0.68792,                0.75289,                0.71552,                 1.2315,              0.0089803,              0.0089803,              0.0089803
                    105,                0.48547,                0.40553,                0.95887,                0.87234,                0.81596,                0.84629,                0.68114,                0.77766,                0.81283,                 1.2294,              0.0089704,              0.0089704,              0.0089704
